name,출전
三水洞里,호구총수
三汀浦里,호구총수
三汗里,호구총수
三江,군현역원·여지도서·역지사지LV3
三江里,호구총수
三波,역지사지LV3
三波坊,호구총수
三洞,호구총수
三洞內,호구총수
三洞內里,호구총수
三洞里,호구총수
三津大村,호구총수
三津里,호구총수
三浦,호구총수
三浦亭里,호구총수
三浦月里,호구총수
三浦里,호구총수
三浪津,역지사지LV3
三浪里,호구총수
三浮石,역지사지LV3
三浮石面,호구총수
三海,역지사지LV3
三海面,호구총수
三淸洞,호구총수
三淸洞契,호구총수
三湖,역지사지LV3
三湖里,호구총수
三溪,역지사지LV3
三溪里,호구총수
三澗里,호구총수
三濟民院里,호구총수
三灘,신증동국여지승람·여지도서·역지사지LV3
三灘面,호구총수
三牌新川里,호구총수
三牌於南里,호구총수
三牌里,호구총수
三牌馬山里,호구총수
三玉里,호구총수
三甘里,호구총수
三田,역지사지LV3
三田洞,호구총수
三田渡,신증동국여지승람·호구총수
三田赤,역지사지LV3
三田赤坊,호구총수
三登,군현역원·역지사지LV3
三登里,호구총수
三百川池,신증동국여지승람
三百川里,호구총수
三省堂,호구총수
三省堂里,호구총수
三省村,호구총수
三省水,호구총수
三省洞,호구총수
三省里,호구총수
三碧亭,호구총수
三社,역지사지LV3
三神山,여지도서
三神洞,호구총수
三竹,역지사지LV3
三箕,역지사지LV3
三簷閭,호구총수
三精里,호구총수
三絃里,호구총수
三美,역지사지LV3
三美川,호구총수
三美洞,호구총수
三美面,호구총수
三義讓岳,여지도서
三義谷里,호구총수
三者峴,여지도서
三聖山,신증동국여지승람·여지도서
三興,역지사지LV3
三興里,호구총수
三花亭里,호구총수
三西村,호구총수
三西面,호구총수
三見佛里,호구총수
三角,호구총수
三角亭,호구총수
三角山,세종실록지리지·신증동국여지승람·여지도서
三角里,호구총수
三谷,역지사지LV3
三谷坊,호구총수
三谷里,호구총수
三豊,역지사지LV3
三貴里,호구총수
三連里,호구총수
三道,역지사지LV3·호구총수
三道峯,여지도서
三達里,호구총수
三都官里,호구총수
三鄕,역지사지LV3
三鄕面,호구총수
三里菜村,호구총수
三里雲塘,호구총수
三里面,호구총수
三釜淵,여지도서
三釜瀑布,여지도서
三長,역지사지LV3
三長川,신증동국여지승람
三門巖里,호구총수
三閑里,호구총수
三間里,호구총수
三陟,군현역원·역지사지LV3
三陽里,호구총수
三隱里,호구총수
三靑津,호구총수
三靑里,호구총수
三項里,호구총수
三頭里,호구총수
三顧里,호구총수
三馬洞,호구총수
三龜洞里,호구총수
上㘏洞,호구총수
上一里,호구총수
上丁太村,호구총수
上七里,호구총수
上三,역지사지LV3
上三宜里,호구총수
上三寶禮閭,호구총수
上三岐,호구총수
上三川里,호구총수
上三池里,호구총수
上三洞里,호구총수
上三浦里,호구총수
上三生里,호구총수
上三田,호구총수
上三里,역지사지LV3·호구총수
上三里面,호구총수
上下,역지사지LV3
上下屯德里,호구총수
上下村,호구총수
上下松里,호구총수
上不老里,호구총수
上丘尾里,호구총수
上中坪里,호구총수
上中山里,호구총수
上中峙里,호구총수
上中方里,호구총수
上中里,호구총수
上丹地里,호구총수
上丹月,호구총수
上丹里,호구총수
上乃里,호구총수
上之介谷,호구총수
上之浦,여지도서·역지사지LV3
上之浦津,여지도서
上之浦面,호구총수
上九士里,호구총수
上九禮洞,호구총수
上九里,호구총수
上乫幕里,호구총수
上乭只里,호구총수
上乺卞里,호구총수
上乾善,호구총수
上乾川里,호구총수
上乾旨里,호구총수
上二里,호구총수
上亐禾,역지사지LV3
上亐禾社,호구총수
上五十石里,호구총수
上五里,호구총수
上井,역지사지LV3
上井谷里,호구총수
上井里,호구총수
上亭里,호구총수
上仁德里,호구총수
上仁興里,호구총수
上仁谷里,호구총수
上仁里,호구총수
上仇郞里,호구총수
上今丹里,호구총수
上今山,역지사지LV3
上今山里,호구총수
上今山面,호구총수
上付巖,호구총수
上仙巖,여지도서
上仙里,호구총수
上令通里,호구총수
上价東里,호구총수
上价西里,호구총수
上伊彦里,호구총수
上伊沙,역지사지LV3·특수구역
上伊沙所,특수구역
上伐村里,호구총수
上伐谷里,호구총수
上伐里,호구총수
上休知里,호구총수
上伽倻谷,호구총수
上伽倻里,호구총수
上住巖閭,호구총수
上佐日里,호구총수
上余田,호구총수
上佛舞谷里,호구총수
上佛里,호구총수
上佳丘里,호구총수
上佳佐洞,호구총수
上佳里,호구총수
上來里,호구총수
上保光里,호구총수
上保韓里,호구총수
上倉,역지사지LV3
上倉里,호구총수
上傑隱里,호구총수
上儉巖里,호구총수
上元堂里,호구총수
上元山里,호구총수
上元川,역지사지LV3
上元川社,호구총수
上元德里,호구총수
上元角村,호구총수
上內亂里,호구총수
上內洞閭,호구총수
上八卦里,호구총수
上八智里,호구총수
上八桂洞,호구총수
上八里,호구총수
上公井里,호구총수
上六里,호구총수
上兵筒,호구총수
上冷井里,호구총수
上凍里,호구총수
上凡南里,호구총수
上凡魚里,호구총수
上分二里,호구총수
上分土里,호구총수
上初北,역지사지LV3
上別目里,호구총수
上別里,호구총수
上利洞,호구총수
上前川里,호구총수
上前里,호구총수
上加,역지사지LV3
上加南,역지사지LV3
上加大浦里,호구총수
上加尺,호구총수
上加尺里,호구총수
上加峙里,호구총수
上加村,호구총수
上加條里,호구총수
上加樂里,호구총수
上加次山里,호구총수
上加社,호구총수
上加里,호구총수
上北,역지사지LV3
上北三,역지사지LV3
上北中村,호구총수
上北二,역지사지LV3
上北山里,호구총수
上北枝里,호구총수
上北部,호구총수
上北里,호구총수
上北面,호구총수
上升洞里,호구총수
上卓里,호구총수
上南,역지사지LV3
上南塘,호구총수
上南西,역지사지LV3
上南部,호구총수
上南里,호구총수
上南門里,호구총수
上南陽里,호구총수
上南面,호구총수
上南面里,호구총수
上博山村,호구총수
上卞月里,호구총수
上卞田里,호구총수
上卞許洞,호구총수
上占卜里,호구총수
上厚浦里,호구총수
上反浦,호구총수
上古,역지사지LV3
上古幕,호구총수
上古延里,호구총수
上古瓦,역지사지LV3
上古社,호구총수
上古站里,호구총수
上古縣,호구총수
上古縣里,호구총수
上古邑里,호구총수
上古郡里,호구총수
上古里,호구총수
上古陽,호구총수
上可習里,호구총수
上可連里,호구총수
上台峯,호구총수
上台里,호구총수
上史洞里,호구총수
上司倉里,호구총수
上吉里,호구총수
上君明里,호구총수
上吾丁,역지사지LV3
上周易里,호구총수
上品谷洞,호구총수
上嘉元里,호구총수
上嘉興里,호구총수
上四巖里,호구총수
上四巷里,호구총수
上四里,호구총수
上國寺洞里,호구총수
上圓浦里,호구총수
上圖,역지사지LV3
上圖面,호구총수
上土,역지사지LV3
上土井里,호구총수
上土鎭,호구총수
上地位里,호구총수
上地境里,호구총수
上地藏里,호구총수
上地里,호구총수
上坊,역지사지LV3
上坊洞,호구총수
上坊里,호구총수
上坊面,호구총수
上坪,호구총수
上坪村,호구총수
上坪村里,호구총수
上坪角,호구총수
上坪里,호구총수
上垈山里,호구총수
上垈洞,호구총수
上垈洞里,호구총수
上垈里,호구총수
上城劫里,호구총수
上城北坊,호구총수
上城北里,호구총수
上城山里,호구총수
上城底里,호구총수
上城里,호구총수
上城門里,호구총수
上基洞里,호구총수
上堀峙里,호구총수
上堂洞,호구총수
上堂洞里,호구총수
上堂里,호구총수
上堰洞里,호구총수
上場巖里,호구총수
上場里,호구총수
上塔里,호구총수
上墨場里,호구총수
上墨正里,호구총수
上士里,호구총수
上壯儀里,호구총수
上外城里,호구총수
上外川里,호구총수
上多佛里,호구총수
上多村,호구총수
上多美,역지사지LV3
上夜味,호구총수
上夢里,호구총수
上大,역지사지LV3
上大乃竹川,호구총수
上大坪,호구총수
上大安里,호구총수
上大寺里,호구총수
上大月里,호구총수
上大朴里,호구총수
上大村,호구총수
上大沙山,호구총수
上大洞里,호구총수
上大田,호구총수
上大田里,호구총수
上大谷,역지사지LV3·호구총수
上大谷里,호구총수
上大里,호구총수
上大門里,호구총수
上天老里,호구총수
上夫皇里,호구총수
上夫車里,호구총수
上奉,역지사지LV3
上好里洞,호구총수
上如魯里,호구총수
上孔堂坊,호구총수
上孝敦里,호구총수
上孝洞,호구총수
上守南,역지사지LV3
上守南面,호구총수
上守西,역지사지LV3
上守西面,호구총수
上安,역지사지LV3
上官,역지사지LV3
上官堂里,호구총수
上官堤里,호구총수
上官寺洞里,호구총수
上官里,호구총수
上官面,호구총수
上宣德,역지사지LV3
上宮里,호구총수
上宿里,호구총수
上實川里,호구총수
上實里,호구총수
上寬惠里,호구총수
上寶光里,호구총수
上寺,역지사지LV3
上寺里,호구총수
上小昆里,호구총수
上尙林洞,호구총수
上尺洞里,호구총수
上屈洞里,호구총수
上屈里,호구총수
上履素里,호구총수
上屯山,호구총수
上屯德里,호구총수
上山,여지도서·역지사지LV3
上山下里,호구총수
上山亭里,호구총수
上山北里,호구총수
上山場里,호구총수
上山川里,호구총수
上山所里,호구총수
上山本里,호구총수
上山村,호구총수
上山洞,호구총수
上山直,호구총수
上山越里,호구총수
上山里,호구총수
上屹村里,호구총수
上岐川,역지사지LV3·호구총수
上岐川社,호구총수
上岳山,여지도서
上峯里,호구총수
上峴里,호구총수
上崛項里,호구총수
上嶺山,여지도서
上嶽山,여지도서
上巖浦,호구총수
上巖田里,호구총수
上巖里,호구총수
上川,역지사지LV3
上川村,호구총수
上川面,호구총수
上州,역지사지LV3
上州內,역지사지LV3
上州內面,호구총수
上州官里,호구총수
上州西,역지사지LV3
上巨里,호구총수
上巨里谷洞,호구총수
上巴古里,호구총수
上帝石里,호구총수
上席卜里,호구총수
上幕瑟浦里,호구총수
上平,역지사지LV3·호구총수
上平倉,역지사지LV3
上平倉坊,호구총수
上平地里,호구총수
上平德里,호구총수
上平田里,호구총수
上平里,호구총수
上店,호구총수
上店村,호구총수
上店里,호구총수
上庚社里,호구총수
上府,역지사지LV3
上府內,역지사지LV3
上府內面,호구총수
上廣巖,호구총수
上廣德里,호구총수
上廣洞,호구총수
上廣津里,호구총수
上廣里,호구총수
上弓村里,호구총수
上德城里,호구총수
上德峙,호구총수
上德川里,호구총수
上德村,호구총수
上德谷,역지사지LV3
上德谷里,호구총수
上德里,호구총수
上德龍里,호구총수
上必德里,호구총수
上念作里,호구총수
上惠下里,호구총수
上慈溪村,호구총수
上慕禮里,호구총수
上房里,호구총수
上所也里,호구총수
上所件,호구총수
上所孔里,호구총수
上所里,호구총수
上才南里,호구총수
上掌坪里,호구총수
上掛津里,호구총수
上撲島,여지도서
上操琴里,호구총수
上擧石村,호구총수
上擧石里,호구총수
上文城,호구총수
上文巖,호구총수
上文良里,호구총수
上斗之閭,호구총수
上斗井里,호구총수
上斗南,호구총수
上斗文里,호구총수
上斗月,호구총수
上斗里,호구총수
上斗院里,호구총수
上新反,호구총수
上新垈,호구총수
上新垈里,호구총수
上新基里,호구총수
上新堤里,호구총수
上新峙里,호구총수
上新川里,호구총수
上新德,역지사지LV3
上新所,호구총수
上新方,호구총수
上新村,호구총수
上新村里,호구총수
上新洞,호구총수
上新翼,역지사지LV3
上新谷里,호구총수
上新里,호구총수
上新院里,호구총수
上方,역지사지LV3
上方下里,호구총수
上方目里,호구총수
上方築,호구총수
上方良里,호구총수
上方里,호구총수
上於旺里,호구총수
上旀士乃里,호구총수
上旨洞里,호구총수
上早谷里,호구총수
上旺方里,호구총수
上旺洞,호구총수
上昌林,호구총수
上明五里,호구총수
上星里,호구총수
上晩止里,호구총수
上景屯里,호구총수
上書莊,특수구역
上月,역지사지LV3
上月午洞,호구총수
上月岳里,호구총수
上月谷里,호구총수
上月里,호구총수
上月面,호구총수
上朝陽,역지사지LV3·호구총수
上朝陽社,호구총수
上木村,호구총수
上木盆里,호구총수
上木里,호구총수
上未里,호구총수
上末里,호구총수
上朱伊,역지사지LV3
上朱庫里,호구총수
上朴里,호구총수
上杏山,호구총수
上杏里,호구총수
上村,역지사지LV3·호구총수
上村里,호구총수
上村面,호구총수
上杜谷東里,호구총수
上杜谷西里,호구총수
上杜里,호구총수
上杜陵洞里,호구총수
上東,역지사지LV3
